month,year,year_month,category,item,quantity,priority,vat,cost
July,2018,2018-07,food,Bananas,4kg,no,no,40.63
July,2018,2018-07,food,Beef,2kg,no,yes,150.98
July,2018,2018-07,food,Beef livers,2kg,no,yes,
July,2018,2018-07,food,Brown bread,25 loaves,no,no,222.38
July,2018,2018-07,food,Butternut,10kg,no,no,49.35
July,2018,2018-07,food,Cabbage,2 heads,no,no,23.98
July,2018,2018-07,food,Cake Flour,10kg,yes,yes,72.49
July,2018,2018-07,food,Canned beans,410g x6,no,yes,58.13
July,2018,2018-07,food,Carrots,5kg,no,no,28.20
July,2018,2018-07,food,Chicken feet,5kg,no,yes,154.72
July,2018,2018-07,food,Chicken livers,2kg,no,yes,
July,2018,2018-07,food,Cooking oil,5L,yes,no,75.32
July,2018,2018-07,food,Cremora,800g,no,yes,32.32
July,2018,2018-07,food,Curry powder,200g,yes,yes,25.99
July,2018,2018-07,food,Eggs,60 eggs,no,no,96.82
July,2018,2018-07,food,Fish,2kg,no,yes,
July,2018,2018-07,food,Frozen chicken portions,10kg,yes,yes,327.98
July,2018,2018-07,food,Full cream milk,6L,no,yes,
July,2018,2018-07,food,Gizzards,2kg,no,yes,50.99
July,2018,2018-07,food,Green pepper,2kg,no,yes,
July,2018,2018-07,food,Inyama yangapakhathi,2kg,no,yes,50.49
July,2018,2018-07,food,Maas,4L,no,no,41.33
July,2018,2018-07,food,Maize meal,35kg,yes,no,234.99
July,2018,2018-07,food,Margarine,1kg x2,no,yes,60.65
July,2018,2018-07,food,Onions,10kg,yes,no,62.25
July,2018,2018-07,food,Oranges,7kg,no,yes,
July,2018,2018-07,food,Peanut butter,400g x2,no,yes,52.98
July,2018,2018-07,food,Polony,2.5kg,no,yes,51.32
July,2018,2018-07,food,Potatoes,10kg,yes,no,49.52
July,2018,2018-07,food,Rice,10kg,yes,no,75.83
July,2018,2018-07,food,Salt,1kg,yes,yes,13.74
July,2018,2018-07,food,Samp,5kg,yes,no,29.49
July,2018,2018-07,food,Soup,400g x2,yes,yes,26.31
July,2018,2018-07,food,Spinach,8 bunches,no,no,63.92
July,2018,2018-07,food,Stock cubes,24 cubes x2,yes,yes,34.31
July,2018,2018-07,food,Sugar beans,5kg,yes,no,94.82
July,2018,2018-07,food,Tea,250g,yes,yes,23.49
July,2018,2018-07,food,Tinned pilchards,400g x6,no,no,88.32
July,2018,2018-07,food,Tomatoes,6kg,no,no,64.99
July,2018,2018-07,food,White bread,25 loaves,no,yes,244.50
July,2018,2018-07,food,White sugar,10kg,yes,yes,125.49
July,2018,2018-07,food,Wors,2kg,no,yes,79.48
July,2018,2018-07,food,Total,44 items,n/a,yes,3039.97
August,2018,2018-08,food,Stock cubes,24 cubes x2,yes,yes,31.65
August,2018,2018-08,food,Apples,1.5kg,no,no,17.16
August,2018,2018-08,food,Apricot jam,900g x2,no,yes,44.31
August,2018,2018-08,food,Bananas,4kg,no,no,39.96
August,2018,2018-08,food,Beef,2kg,no,yes,145.48
August,2018,2018-08,food,Beef livers,2kg,no,yes,
August,2018,2018-08,food,Brown bread,25 loaves,no,no,217.42
August,2018,2018-08,food,Butternut,10kg,no,no,61.90
August,2018,2018-08,food,Cabbage,2 heads,no,no,22.33
August,2018,2018-08,food,Cake Flour,10kg,yes,yes,71.66
August,2018,2018-08,food,Canned beans,410g x6,no,yes,57.30
August,2018,2018-08,food,Carrots,5kg,no,no,14.67
August,2018,2018-08,food,Chicken feet,5kg,no,yes,140.97
August,2018,2018-08,food,Chicken livers,2kg,no,yes,
August,2018,2018-08,food,Cooking oil,5L,yes,no,79.16
August,2018,2018-08,food,Cremora,800g,no,yes,33.66
August,2018,2018-08,food,Curry powder,200g,yes,yes,26.16
August,2018,2018-08,food,Eggs,60 eggs,no,no,95.66
August,2018,2018-08,food,Fish,2kg,no,yes,
August,2018,2018-08,food,Frozen chicken portions,10kg,yes,yes,334.98
August,2018,2018-08,food,Full cream milk,6L,no,yes,
August,2018,2018-08,food,Gizzards,2kg,no,yes,47.48
August,2018,2018-08,food,Green pepper,2kg,no,yes,
August,2018,2018-08,food,Inyama yangapakhathi,2kg,no,yes,50.49
August,2018,2018-08,food,Maas,4L,no,no,39.16
August,2018,2018-08,food,Maize meal,35kg,yes,no,239.16
August,2018,2018-08,food,Margarine,1kg x2,no,yes,62.65
August,2018,2018-08,food,Onions,10kg,yes,no,66.54
August,2018,2018-08,food,Oranges,7kg,no,yes,
August,2018,2018-08,food,Peanut butter,400g x2,no,yes,47.98
August,2018,2018-08,food,Polony,2.5kg,no,yes,52.16
August,2018,2018-08,food,Potatoes,10kg,yes,no,50.23
August,2018,2018-08,food,Rice,10kg,yes,no,75.49
August,2018,2018-08,food,Salt,1kg,yes,yes,13.74
August,2018,2018-08,food,Samp,5kg,yes,no,29.66
August,2018,2018-08,food,Soup,400g x2,yes,yes,25.98
August,2018,2018-08,food,Spinach,8 bunches,no,no,55.92
August,2018,2018-08,food,Sugar beans,5kg,yes,no,92.66
August,2018,2018-08,food,Tea,250g,yes,yes,23.99
August,2018,2018-08,food,Tinned pilchards,400g x6,no,no,89.97
August,2018,2018-08,food,Tomatoes,6kg,no,no,68.38
August,2018,2018-08,food,White bread,25 loaves,no,yes,241.17
August,2018,2018-08,food,White sugar,10kg,yes,yes,124.49
August,2018,2018-08,food,Wors,2kg,no,yes,77.98
August,2018,2018-08,food,Total,44 items,n/a,yes,3009.65
September,2018,2018-09,food,Stock cubes,24 cubes x2,yes,yes,32.65
September,2018,2018-09,food,Apples,1.5kg,no,no,14.49
September,2018,2018-09,food,Apricot jam,900g x2,no,yes,49.65
September,2018,2018-09,food,Bananas,4kg,no,no,35.29
September,2018,2018-09,food,Beef,2kg,no,yes,143.98
September,2018,2018-09,food,Beef livers,2kg,no,yes,
September,2018,2018-09,food,Brown bread,25 loaves,no,no,219.46
September,2018,2018-09,food,Butternut,10kg,no,no,68.27
September,2018,2018-09,food,Cabbage,2 heads,no,no,21.99
September,2018,2018-09,food,Cake Flour,10kg,yes,yes,76.49
September,2018,2018-09,food,Canned beans,410g x6,no,yes,60.96
September,2018,2018-09,food,Carrots,5kg,no,no,25.6
September,2018,2018-09,food,Chicken feet,5kg,no,yes,144.72
September,2018,2018-09,food,Chicken livers,2kg,no,yes,
September,2018,2018-09,food,Cooking oil,5L,yes,no,78.32
September,2018,2018-09,food,Cremora,800g,no,yes,33.99
September,2018,2018-09,food,Curry powder,200g,yes,yes,26.49
September,2018,2018-09,food,Eggs,60 eggs,no,no,94.16
September,2018,2018-09,food,Fish,2kg,no,yes,
September,2018,2018-09,food,Frozen chicken portions,10kg,yes,yes,309.48
September,2018,2018-09,food,Full cream milk,6L,no,yes,
September,2018,2018-09,food,Gizzards,2kg,no,yes,46.48
September,2018,2018-09,food,Green pepper,2kg,no,yes,
September,2018,2018-09,food,Inyama yangapakhathi,2kg,no,yes,60.48
September,2018,2018-09,food,Maas,4L,no,no,41.32
September,2018,2018-09,food,Maize meal,35kg,yes,no,239.32
September,2018,2018-09,food,Margarine,1kg x2,no,yes,62.65
September,2018,2018-09,food,Onions,10kg,yes,no,68.8
September,2018,2018-09,food,Oranges,7kg,no,yes,
September,2018,2018-09,food,Peanut butter,400g x2,no,yes,51.98
September,2018,2018-09,food,Polony,2.5kg,no,yes,57.49
September,2018,2018-09,food,Potatoes,10kg,yes,no,48.09
September,2018,2018-09,food,Rice,10kg,yes,no,76.99
September,2018,2018-09,food,Salt,1kg,yes,yes,13.91
September,2018,2018-09,food,Samp,5kg,yes,no,29.49
September,2018,2018-09,food,Soup,400g x2,yes,yes,24.65
September,2018,2018-09,food,Spinach,8 bunches,no,no,47.92
September,2018,2018-09,food,Sugar beans,5kg,yes,no,89.32
September,2018,2018-09,food,Tea,250g,yes,yes,29.16
September,2018,2018-09,food,Tinned pilchards,400g x6,no,no,93.96
September,2018,2018-09,food,Tomatoes,6kg,no,no,51
September,2018,2018-09,food,White bread,25 loaves,no,yes,242
September,2018,2018-09,food,White sugar,10kg,yes,yes,123.82
September,2018,2018-09,food,Wors,2kg,no,yes,85.48
September,2018,2018-09,food,Total,44 items,n/a,yes,3020.28
October,2018,2018-10,food,Stock cubes,24 cubes x2,yes,yes,37.65
October,2018,2018-10,food,Apples,1.5kg,no,no,17.82
October,2018,2018-10,food,Apricot jam,900g x2,no,yes,50.31
October,2018,2018-10,food,Bananas,4kg,no,no,35.29
October,2018,2018-10,food,Beef,2kg,no,yes,136.48
October,2018,2018-10,food,Beef livers,2kg,no,yes,
October,2018,2018-10,food,Brown bread,25 loaves,no,no,223.63
October,2018,2018-10,food,Butternut,10kg,no,no,64.99
October,2018,2018-10,food,Cabbage,2 heads,no,no,18.65
October,2018,2018-10,food,Cake Flour,10kg,yes,yes,75.66
October,2018,2018-10,food,Canned beans,410g x6,no,yes,60.63
October,2018,2018-10,food,Carrots,5kg,no,no,31.66
October,2018,2018-10,food,Chicken feet,5kg,no,yes,144.72
October,2018,2018-10,food,Chicken livers,2kg,no,yes,
October,2018,2018-10,food,Cooking oil,5L,yes,no,83.49
October,2018,2018-10,food,Cremora,800g,no,yes,30.32
October,2018,2018-10,food,Curry powder,200g,yes,yes,27.99
October,2018,2018-10,food,Eggs,60 eggs,no,no,94.16
October,2018,2018-10,food,Fish,2kg,no,yes,
October,2018,2018-10,food,Frozen chicken portions,10kg,yes,yes,314.48
October,2018,2018-10,food,Full cream milk,6L,no,yes,
October,2018,2018-10,food,Gizzards,2kg,no,yes,40.48
October,2018,2018-10,food,Green pepper,2kg,no,yes,
October,2018,2018-10,food,Inyama yangapakhathi,2kg,no,yes,56.48
October,2018,2018-10,food,Maas,4L,no,no,41.32
October,2018,2018-10,food,Maize meal,35kg,yes,no,234.58
October,2018,2018-10,food,Margarine,1kg x2,no,yes,59.32
October,2018,2018-10,food,Onions,10kg,yes,no,67.8
October,2018,2018-10,food,Oranges,7kg,no,yes,
October,2018,2018-10,food,Peanut butter,400g x2,no,yes,48.65
October,2018,2018-10,food,Polony,2.5kg,no,yes,58.99
October,2018,2018-10,food,Potatoes,10kg,yes,no,48.68
October,2018,2018-10,food,Rice,10kg,yes,no,76.82
October,2018,2018-10,food,Salt,1kg,yes,yes,13.91
October,2018,2018-10,food,Samp,5kg,yes,no,29.16
October,2018,2018-10,food,Soup,400g x2,yes,yes,26.31
October,2018,2018-10,food,Spinach,8 bunches,no,no,43.96
October,2018,2018-10,food,Sugar beans,5kg,yes,no,85.82
October,2018,2018-10,food,Tea,250g,yes,yes,29.16
October,2018,2018-10,food,Tinned pilchards,400g x6,no,no,92.96
October,2018,2018-10,food,Tomatoes,6kg,no,no,65.83
October,2018,2018-10,food,White bread,25 loaves,no,yes,246.54
October,2018,2018-10,food,White sugar,10kg,yes,yes,140.82
October,2018,2018-10,food,Wors,2kg,no,yes,82.98
October,2018,2018-10,food,Total,44 items,n/a,yes,3038.5
November,2018,2018-11,food,Stock cubes,24 cubes x2,yes,yes,34.98
November,2018,2018-11,food,Apples,1.5kg,no,no,19.16
November,2018,2018-11,food,Apricot jam,900g x2,no,yes,53.31
November,2018,2018-11,food,Bananas,4kg,no,no,36.63
November,2018,2018-11,food,Beef,2kg,no,yes,132.48
November,2018,2018-11,food,Beef livers,2kg,no,yes,
November,2018,2018-11,food,Brown bread,25 loaves,no,no,234.04
November,2018,2018-11,food,Butternut,10kg,no,no,68.56
November,2018,2018-11,food,Cabbage,2 heads,no,no,18.99
November,2018,2018-11,food,Cake Flour,10kg,yes,yes,78.33
November,2018,2018-11,food,Canned beans,410g x6,no,yes,60.13
November,2018,2018-11,food,Carrots,5kg,no,no,28.75
November,2018,2018-11,food,Chicken feet,5kg,no,yes,117.22
November,2018,2018-11,food,Chicken livers,2kg,no,yes,
November,2018,2018-11,food,Cooking oil,5L,yes,no,83.66
November,2018,2018-11,food,Cremora,800g,no,yes,32.32
November,2018,2018-11,food,Curry powder,200g,yes,yes,26.49
November,2018,2018-11,food,Eggs,60 eggs,no,no,94.16
November,2018,2018-11,food,Fish,2kg,no,yes,
November,2018,2018-11,food,Frozen chicken portions,10kg,yes,yes,304.48
November,2018,2018-11,food,Full cream milk,6L,no,yes,
November,2018,2018-11,food,Gizzards,2kg,no,yes,36.48
November,2018,2018-11,food,Green pepper,2kg,no,yes,
November,2018,2018-11,food,Inyama yangapakhathi,2kg,no,yes,53.98
November,2018,2018-11,food,Maas,4L,no,no,42.32
November,2018,2018-11,food,Maize meal,35kg,yes,no,231.38
November,2018,2018-11,food,Margarine,1kg x2,no,yes,62.65
November,2018,2018-11,food,Onions,10kg,yes,no,61.18
November,2018,2018-11,food,Oranges,7kg,no,yes,
November,2018,2018-11,food,Peanut butter,400g x2,no,yes,52.31
November,2018,2018-11,food,Polony,2.5kg,no,yes,60.16
November,2018,2018-11,food,Potatoes,10kg,yes,no,67.97
November,2018,2018-11,food,Rice,10kg,yes,no,78.32
November,2018,2018-11,food,Salt,1kg,yes,yes,13.91
November,2018,2018-11,food,Samp,5kg,yes,no,30.82
November,2018,2018-11,food,Soup,400g x2,yes,yes,26.98
November,2018,2018-11,food,Spinach,8 bunches,no,no,39.97
November,2018,2018-11,food,Sugar beans,5kg,yes,no,88.16
November,2018,2018-11,food,Tea,250g,yes,yes,27.99
November,2018,2018-11,food,Tinned pilchards,400g x6,no,no,92.96
November,2018,2018-11,food,Tomatoes,6kg,no,no,83.31
November,2018,2018-11,food,White bread,25 loaves,no,yes,254.88
November,2018,2018-11,food,White sugar,10kg,yes,yes,143.66
November,2018,2018-11,food,Wors,2kg,no,yes,82.98
November,2018,2018-11,food,Total,44 items,n/a,yes,3056.05
December,2018,2018-12,food,Stock cubes,24 cubes x2,yes,yes,31.65
December,2018,2018-12,food,Apples,1.5kg,no,no,21.82
December,2018,2018-12,food,Apricot jam,900g x2,no,yes,49.31
December,2018,2018-12,food,Bananas,4kg,no,no,44.63
December,2018,2018-12,food,Beef,2kg,no,yes,142.99
December,2018,2018-12,food,Beef livers,2kg,no,yes,
December,2018,2018-12,food,Brown bread,25 loaves,no,no,234.04
December,2018,2018-12,food,Butternut,10kg,no,no,52.66
December,2018,2018-12,food,Cabbage,2 heads,no,no,18.98
December,2018,2018-12,food,Cake Flour,10kg,yes,yes,76.32
December,2018,2018-12,food,Canned beans,410g x6,no,yes,53.5
December,2018,2018-12,food,Carrots,5kg,no,no,32.5
December,2018,2018-12,food,Chicken feet,5kg,no,yes,134.72
December,2018,2018-12,food,Chicken livers,2kg,no,yes,
December,2018,2018-12,food,Cooking oil,5L,yes,no,79.66
December,2018,2018-12,food,Cremora,800g,no,yes,30.66
December,2018,2018-12,food,Curry powder,200g,yes,yes,25.82
December,2018,2018-12,food,Eggs,60 eggs,no,no,90.14
December,2018,2018-12,food,Fish,2kg,no,yes,
December,2018,2018-12,food,Frozen chicken portions,10kg,yes,yes,324.98
December,2018,2018-12,food,Full cream milk,6L,no,yes,
December,2018,2018-12,food,Gizzards,2kg,no,yes,53.98
December,2018,2018-12,food,Green pepper,2kg,no,yes,
December,2018,2018-12,food,Inyama yangapakhathi,2kg,no,yes,50.48
December,2018,2018-12,food,Maas,4L,no,no,38.16
December,2018,2018-12,food,Maize meal,35kg,yes,no,226.18
December,2018,2018-12,food,Margarine,1kg x2,no,yes,63.31
December,2018,2018-12,food,Onions,10kg,yes,no,52.92
December,2018,2018-12,food,Oranges,7kg,no,yes,
December,2018,2018-12,food,Peanut butter,400g x2,no,yes,49.15
December,2018,2018-12,food,Polony,2.5kg,no,yes,57.49
December,2018,2018-12,food,Potatoes,10kg,yes,no,60.23
December,2018,2018-12,food,Rice,10kg,yes,no,76.49
December,2018,2018-12,food,Salt,1kg,yes,yes,14.19
December,2018,2018-12,food,Samp,5kg,yes,no,28.49
December,2018,2018-12,food,Soup,400g x2,yes,yes,24.65
December,2018,2018-12,food,Spinach,8 bunches,no,no,37.29
December,2018,2018-12,food,Sugar beans,5kg,yes,no,85.16
December,2018,2018-12,food,Tea,250g,yes,yes,28.82
December,2018,2018-12,food,Tinned pilchards,400g x6,no,no,88.64
December,2018,2018-12,food,Tomatoes,6kg,no,no,65.71
December,2018,2018-12,food,White bread,25 loaves,no,yes,254.88
December,2018,2018-12,food,White sugar,10kg,yes,yes,138.83
December,2018,2018-12,food,Wors,2kg,no,yes,83.48
December,2018,2018-12,food,Total,44 items,n/a,yes,3022.9
January,2019,2019-01,food,Stock cubes,24 cubes x2,yes,yes,35.98
January,2019,2019-01,food,Apples,1.5kg,no,no,24.99
January,2019,2019-01,food,Apricot jam,900g x2,no,yes,49.65
January,2019,2019-01,food,Bananas,4kg,no,no,47.29
January,2019,2019-01,food,Beef,2kg,no,yes,146.98
January,2019,2019-01,food,Beef livers,2kg,no,yes,
January,2019,2019-01,food,Brown bread,25 loaves,no,no,240.29
January,2019,2019-01,food,Butternut,10kg,no,no,47.13
January,2019,2019-01,food,Cabbage,2 heads,no,no,25.98
January,2019,2019-01,food,Cake Flour,10kg,yes,yes,78.16
January,2019,2019-01,food,Canned beans,410g x6,no,yes,60.3
January,2019,2019-01,food,Carrots,5kg,no,no,47.49
January,2019,2019-01,food,Chicken feet,5kg,no,yes,132.22
January,2019,2019-01,food,Chicken livers,2kg,no,yes,
January,2019,2019-01,food,Cooking oil,5L,yes,no,84.49
January,2019,2019-01,food,Cremora,800g,no,yes,34.32
January,2019,2019-01,food,Curry powder,200g,yes,yes,27.16
January,2019,2019-01,food,Eggs,60 eggs,no,no,88.47
January,2019,2019-01,food,Fish,2kg,no,yes,
January,2019,2019-01,food,Frozen chicken portions,10kg,yes,yes,314.98
January,2019,2019-01,food,Full cream milk,6L,no,yes,
January,2019,2019-01,food,Gizzards,2kg,no,yes,55.48
January,2019,2019-01,food,Green pepper,2kg,no,yes,
January,2019,2019-01,food,Inyama yangapakhathi,2kg,no,yes,52.98
January,2019,2019-01,food,Maas,4L,no,no,39.49
January,2019,2019-01,food,Maize meal,35kg,yes,no,225.78
January,2019,2019-01,food,Margarine,1kg x2,no,yes,63.98
January,2019,2019-01,food,Onions,10kg,yes,no,51.18
January,2019,2019-01,food,Oranges,7kg,no,yes,
January,2019,2019-01,food,Peanut butter,400g x2,no,yes,49.31
January,2019,2019-01,food,Polony,2.5kg,no,yes,56.99
January,2019,2019-01,food,Potatoes,10kg,yes,no,77.97
January,2019,2019-01,food,Rice,10kg,yes,no,80.82
January,2019,2019-01,food,Salt,1kg,yes,yes,14.19
January,2019,2019-01,food,Samp,5kg,yes,no,30.16
January,2019,2019-01,food,Soup,400g x2,yes,yes,28.31
January,2019,2019-01,food,Spinach,8 bunches,no,no,37.29
January,2019,2019-01,food,Sugar beans,5kg,yes,no,87.33
January,2019,2019-01,food,Tea,250g,yes,yes,29.32
January,2019,2019-01,food,Tinned pilchards,400g x6,no,no,93.64
January,2019,2019-01,food,Tomatoes,6kg,no,no,72.49
January,2019,2019-01,food,White bread,25 loaves,no,yes,259.04
January,2019,2019-01,food,White sugar,10kg,yes,yes,145.16
January,2019,2019-01,food,Wors,2kg,no,yes,81.48
January,2019,2019-01,food,Total,44 items,n/a,yes,3118.28
February,2019,2019-02,food,Stock cubes,24 cubes x2,yes,yes,34.31
February,2019,2019-02,food,Apples,1.5kg,no,no,26.49
February,2019,2019-02,food,Apricot jam,900g x2,no,yes,49.31
February,2019,2019-02,food,Bananas,4kg,no,no,37.29
February,2019,2019-02,food,Beef,2kg,no,yes,147.98
February,2019,2019-02,food,Beef livers,2kg,no,yes,
February,2019,2019-02,food,Brown bread,25 loaves,no,no,246.5
February,2019,2019-02,food,Butternut,10kg,no,no,42.37
February,2019,2019-02,food,Cabbage,2 heads,no,no,23.98
February,2019,2019-02,food,Cake Flour,10kg,yes,yes,72.49
February,2019,2019-02,food,Canned beans,410g x6,no,yes,59.79
February,2019,2019-02,food,Carrots,5kg,no,no,28.5
February,2019,2019-02,food,Chicken feet,5kg,no,yes,120.15
February,2019,2019-02,food,Chicken livers,2kg,no,yes,
February,2019,2019-02,food,Cooking oil,5L,yes,no,79.16
February,2019,2019-02,food,Cremora,800g,no,yes,30.99
February,2019,2019-02,food,Curry powder,200g,yes,yes,26.32
February,2019,2019-02,food,Eggs,60 eggs,no,no,87.66
February,2019,2019-02,food,Fish,2kg,no,yes,
February,2019,2019-02,food,Frozen chicken portions,10kg,yes,yes,325.39
February,2019,2019-02,food,Full cream milk,6L,no,yes,
February,2019,2019-02,food,Gizzards,2kg,no,yes,68.39
February,2019,2019-02,food,Green pepper,2kg,no,yes,
February,2019,2019-02,food,Inyama yangapakhathi,2kg,no,yes,60.94
February,2019,2019-02,food,Maas,4L,no,no,40.32
February,2019,2019-02,food,Maize meal,35kg,yes,no,232.38
February,2019,2019-02,food,Margarine,1kg x2,no,yes,64.65
February,2019,2019-02,food,Onions,10kg,yes,no,46.33
February,2019,2019-02,food,Oranges,7kg,no,yes,
February,2019,2019-02,food,Peanut butter,400g x2,no,yes,46.65
February,2019,2019-02,food,Polony,2.5kg,no,yes,56.99
February,2019,2019-02,food,Potatoes,10kg,yes,no,60.25
February,2019,2019-02,food,Rice,10kg,yes,no,77.82
February,2019,2019-02,food,Salt,1kg,yes,yes,14.36
February,2019,2019-02,food,Samp,5kg,yes,no,29.66
February,2019,2019-02,food,Soup,400g x2,yes,yes,26.31
February,2019,2019-02,food,Spinach,8 bunches,no,no,55.92
February,2019,2019-02,food,Sugar beans,5kg,yes,no,83.32
February,2019,2019-02,food,Tea,250g,yes,yes,29.82
February,2019,2019-02,food,Tinned pilchards,400g x6,no,no,95.13
February,2019,2019-02,food,Tomatoes,6kg,no,no,57.49
February,2019,2019-02,food,White bread,25 loaves,no,yes,263.17
February,2019,2019-02,food,White sugar,10kg,yes,yes,143.16
February,2019,2019-02,food,Wors,2kg,no,yes,81.48
February,2019,2019-02,food,Total,44 items,n/a,yes,3073.22
March,2019,2019-03,food,Stock cubes,24 cubes x2,yes,yes,36.31
March,2019,2019-03,food,Apples,1.5kg,no,no,26.66
March,2019,2019-03,food,Apricot jam,900g x2,no,yes,50.31
March,2019,2019-03,food,Bananas,4kg,no,no,44.63
March,2019,2019-03,food,Beef,2kg,no,yes,142.98
March,2019,2019-03,food,Beef livers,2kg,no,yes,
March,2019,2019-03,food,Brown bread,25 loaves,no,no,244.46
March,2019,2019-03,food,Butternut,10kg,no,no,45.92
March,2019,2019-03,food,Cabbage,2 heads,no,no,25.58
March,2019,2019-03,food,Cake Flour,10kg,yes,yes,75.82
March,2019,2019-03,food,Canned beans,410g x6,no,yes,61.3
March,2019,2019-03,food,Carrots,5kg,no,no,35.19
March,2019,2019-03,food,Chicken feet,5kg,no,yes,119
March,2019,2019-03,food,Chicken livers,2kg,no,yes,
March,2019,2019-03,food,Cooking oil,5L,yes,no,79.16
March,2019,2019-03,food,Cremora,800g,no,yes,30.97
March,2019,2019-03,food,Curry powder,200g,yes,yes,27.99
March,2019,2019-03,food,Eggs,60 eggs,no,no,86.49
March,2019,2019-03,food,Fish,2kg,no,yes,
March,2019,2019-03,food,Frozen chicken portions,10kg,yes,yes,325.49
March,2019,2019-03,food,Full cream milk,6L,no,yes,
March,2019,2019-03,food,Gizzards,2kg,no,yes,58
March,2019,2019-03,food,Green pepper,2kg,no,yes,
March,2019,2019-03,food,Inyama yangapakhathi,2kg,no,yes,56.74
March,2019,2019-03,food,Maas,4L,no,no,41.66
March,2019,2019-03,food,Maize meal,35kg,yes,no,235.78
March,2019,2019-03,food,Margarine,1kg x2,no,yes,65.31
March,2019,2019-03,food,Onions,10kg,yes,no,48.95
March,2019,2019-03,food,Oranges,7kg,no,yes,
March,2019,2019-03,food,Peanut butter,400g x2,no,yes,53.65
March,2019,2019-03,food,Polony,2.5kg,no,yes,56.66
March,2019,2019-03,food,Potatoes,10kg,yes,no,61.42
March,2019,2019-03,food,Rice,10kg,yes,no,79.49
March,2019,2019-03,food,Salt,1kg,yes,yes,14.36
March,2019,2019-03,food,Samp,5kg,yes,no,31.49
March,2019,2019-03,food,Soup,400g x2,yes,yes,27.31
March,2019,2019-03,food,Spinach,8 bunches,no,no,55.92
March,2019,2019-03,food,Sugar beans,5kg,yes,no,85.79
March,2019,2019-03,food,Tea,250g,yes,yes,30.66
March,2019,2019-03,food,Tinned pilchards,400g x6,no,no,93.79
March,2019,2019-03,food,Tomatoes,6kg,no,no,73.33
March,2019,2019-03,food,White bread,25 loaves,no,yes,263.17
March,2019,2019-03,food,White sugar,10kg,yes,yes,137.32
March,2019,2019-03,food,Wors,2kg,no,yes,79.74
March,2019,2019-03,food,Total,44 items,n/a,yes,3108.77
April,2019,2019-04,food,Stock cubes,24 cubes x2,yes,yes,36.98
April,2019,2019-04,food,Apples,1.5kg,no,no,16.16
April,2019,2019-04,food,Apricot jam,900g x2,no,yes,48.31
April,2019,2019-04,food,Bananas,4kg,no,no,47.29
April,2019,2019-04,food,Beef,2kg,no,yes,136.99
